Country,Prevalence2008,Prevalence2013,Prevalence2020,Incidence2008,Incidence2013,Incidence2020,MeanAgeofOnset2008,MeanAgeofOnset2013,MeanAgeofOnset2020,
Afghanistan,4,-1,-1,2.5,-1,-1,-1,-1,-1,
Albania,-1,22,32,-1,-1,-1,-1,-1,-1,
Algeria,10,20,35,1,-1,1,30,-1,30.3,
American Samoa,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Andorra,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Angola,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Antigua and Barbuda,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Argentina,18,18,38,21,1,-1,24.5,33,32.4,
Armenia,-1,-1,10.14,-1,-1,-1,-1,-1,-1,
Aruba,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Australia,78,95.6,103.7,3,3.8,6.7,33.7,37.6,-1,
Austria,100,140,153.06,3,-1,19.5,29,32.5,-1,
Azerbaijan,-1,-1,-1,-1,-1,-1,-1,-1,-1,
The Bahamas,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Bahrain,13,35,-1,1.5,-1,-1,25,-1,-1,
Bangladesh,-1,-1,-1,-1,-1,-1,25,-1,-1,
Barbados,26.3,-1,-1,1.13,-1,-1,-1,-1,-1,
Belarus,47,-1,50,-1,-1,1.5,24,-1,-1,
Belgium,88,100,103.99,4.2,4,4.266662217,30,30,-1,
Belize,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Benin,0,-1,-1,0,-1,-1,-1,-1,-1,
Bermuda,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Bhutan,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Bolivia,-1,1.5,-1,-1,0.25,-1,-1,28.2,-1,
Bosnia and Herzegovina,80,60,91.43,5,12,-1,32,31,30.5,
Botswana,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Brazil,18,15,18.95,-1,-1,-1,28,-1,34,
British Virgin Islands,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Brunei Darussalam,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Bulgaria,44.5,39.1,110,1.03,3.5,-1,30,-1,-1,
Burkina Faso,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Burundi,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Cabo Verde,-1,-1,-1,-1,-1,1.82,-1,-1,-1,
Cambodia,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Cameroon,0.2,0.018,0.02,-1,-1,-1,22.5,37.75,-1,
Canada,240,291,290,3.5,13.4,14,24.5,31,43,
Cayman Islands,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Central African Republic,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Chad,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Channel Islands,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Chile,11.7,-1,16,1.8,-1,0.9,39,-1,29,
China,1.45,1.5,2.96,0.95,-1,0.24,30.8,30,33,
Colombia,5,4.9,6.88,-1,-1,0.498614973,32.2,20,30,
Comoros,-1,-1,-1,-1,-1,-1,-1,-1,-1,
"Congo, Democratic Republic of ",-1,-1,-1,-1,-1,-1,-1,-1,-1,
"Congo, Republic of",-1,-1,-1,-1,-1,-1,-1,-1,-1,
Cook Islands,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Costa Rica,4.25,5.4,9,7.5,-1,-1,25,35,-1,
Cote d'lvoire,-1,-1,-1,-1,-1,-1,-1,30,-1,
Croatia,87.5,59,143.8,-1,-1,-1,31,32,-1,
Cuba,10,14,14.5,-1,-1,-1,32,-1,-1,
Curaï¿½ao,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Cyprus,110,175,217,4,6,10.9,30,30,38,
Czech Republic,130,160,197,1.5,11,6.548660429,30,31.9,-1,
Denmark,122,227,301,5.9,7.89,11.8,-1,34.1,36.5,
Djibouti,-1,-1,1.03,-1,-1,0.308147418,-1,-1,-1,
Dominica,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Dominican Republic,-1,-1,2.61,-1,-1,0.027935671,-1,-1,30,
Ecuador,1.2,3.2,4,-1,-1,-1,33,-1,31.5,
Egypt,30,25,59,-1,-1,10,28,28,26.6,
El Salvador,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Equatorial Guinea,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Eritrea,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Estonia,100,82,113.15,-1,10,-1,24.5,44,20,
Eswatini,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Ethiopia,-1,-1,0.03,-1,-1,-1,35,-1,19,
Fiji,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Finland,100,105,219,5,9,7.7,31.5,31.7,40.1,
France,80,94.7,155.15,-1,7.6,6.206053384,30,29.4,-1,
French Polynesia,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Gabon,-1,-1,-1,-1,-1,-1,-1,-1,-1,
"Gambia,The",-1,-1,-1,-1,-1,-1,-1,-1,-1,
Georgia,33,-1,30,1.8,-1,3,27.5,-1,25.5,
Germany,149,149,300,2.85,5,17.56403275,30.2,31.4,33,
Ghana,-1,0.24,0.5,-1,-1,-1,-1,30,-1,
Gibraltar,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Greece,78,70,178,4,7,5.702204643,31,27,-1,
Grenada,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Guam,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Guatemala,2.5,3.3,3.35,0.08,0.07,0.279086881,30,30,-1,
Guinea,0.13,-1,-1,0.01,-1,-1,30,30,-1,
Guinea-Bissau,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Guyana,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Haiti,-1,-1,0.09,-1,-1,-1,-1,-1,32.3,
Honduras,3,-1,5.1,0.07,-1,0.07550593,24,-1,32.3,
Hong Kong ,0.77,-1,0.7,0.2,-1,0.067239059,27.8,-1,30,
Hungary,176,176,89.8,9.82,10,-1,34,27,-1,
Iceland,110,140,212.37,10,10,7.804500387,29,29,36,
India,3,7,10.9,-1,-1,0.5,28.3,29,30.47,
Indonesia,-1,0.02,0.06,-1,-1,0.020547648,-1,30,35,
"Iran, Islamic Republic of",30,45,101,-1,4,4.95,27,26,32,
Iraq,6,5,11.73,0.25,1.5,2,30,31,32.3,
Ireland,100,140,193.45,-1,-1,6,32.5,30,37,
Isle of Man,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Israel,60,62.5,150.96,2.06,-1,9.484261584,25,30,39.3,
Italy,90,113,215,3,4,6,25,30,30,
Jamaica,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Japan,8,8,14.3,-1,-1,-1,32.5,29,-1,
Jordan,39,39,-1,1.2,-1,-1,25,29.3,-1,
Kazakhstan,5,-1,10.86,3,-1,0.67,18.5,-1,28.5,
Kenya,-1,1,0.5,-1,-1,0.009955966,23.6,-1,28,
Kiribati,-1,-1,-1,-1,-1,-1,-1,-1,-1,
"Korea, Democratic People's Republic of ",-1,-1,-1,-1,-1,-1,-1,-1,-1,
"Korea, Republic of ",3.3,3.5,3.23,0.68,0.5,0.5,34.8,30,-1,
Kosovo,-1,-1,52.63,-1,-1,0.95,-1,-1,32.4,
Kuwait,14.8,83,104.9,2.6,8,6.4,26,26.5,28.7,
Kyrgyzstan,-1,-1,5.5,-1,-1,-1,-1,-1,35,
"Lao, People's Democratic Republic of",-1,-1,0.07,-1,-1,0.014834233,-1,-1,28.2,
Latvia,50,89.9,106.73,4,11.6,4.352972582,24.5,28.3,-1,
Lebanon,25,45,62.91,-1,-1,8.363448632,27,30,34.5,
Lesotho,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Liberia,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Libya,-1,5.9,15,-1,1,0.224599348,-1,30,39,
Liechtenstein,-1,100,-1,-1,-1,-1,-1,-1,-1,
Lithuania,65,78,103.5,6,8,12.42921598,25,29.3,30,
Luxembourg,101,-1,-1,-1,-1,-1,33.4,-1,-1,
Macao SAR,-1,-1,5.85,-1,-1,1.17,-1,-1,-1,
Madagascar,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Malawi,0.4,0.012,0,0.1,-1,0,-1,-1,-1,
Malaysia,-1,-1,5.5,-1,-1,0.275432282,31,30,29,
Maldives,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Mali,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Malta,25,75,94,4,-1,-1,31,-1,-1,
Marshall Islands,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Mauritania,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Mauritius,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Mexico,9,15,15,-1,-1,0.056099937,28,27,28,
"Micronesia, Federated States of",-1,-1,-1,-1,-1,-1,-1,-1,-1,
"Moldova, Republic of ",50,-1,34,4,-1,3.6,26,-1,-1,
Monaco,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Mongolia,5,10,-1,-1,-1,-1,39,32,-1,
Montenegro,-1,45,111.47,-1,-1,4.777168954,-1,-1,31,
Morocco,20,20,20,-1,-1,-1,30,29,35,
Mozambique,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Myanmar,-1,-1,-1,-1,-1,0.011101773,-1,-1,32.2,
Namibia,-1,-1,4,-1,-1,0.080175424,45,-1,38,
Nauru,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Nepal,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Netherlands,100,88,150,3.5,5,9,-1,30,-1,
New Caledonia,-1,-1,-1,-1,-1,-1,-1,-1,-1,
New Zealand,85,73,72.4,4,4,3.3,30,34,42.4,
Nicaragua,1.8,2,1.31,0.18,0.5,0.13,26,27,32,
Niger,-1,-1,0.01,-1,-1,-1,-1,-1,32.5,
Nigeria,5,-1,0.9,5,-1,-1,40,25,-1,
Niue,-1,-1,-1,-1,-1,-1,-1,-1,-1,
North Macedonia,32,31,81.68,2.3,2,3.935762595,28.3,31,-1,
Northern Mariana Islands,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Norway,125,160,255,5.5,7,11,31,31,38.7,
Oman,-1,22,15.9,-1,2,1.38,-1,26,27,
Pakistan,0.5,5,5,4,0.5,-1,20,27,29,
Palau,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Palestinian Authority,-1,23.5,53,-1,-1,7.7,-1,22,30,
Panama,5.24,5.2,9,0.61,0.6,0.619259772,34.76,32,34,
Papua New Guinea,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Paraguay,5.7,5.7,11,0.54,0.6,0.8,-1,30,-1,
Peru,4,5,7.6,-1,-1,-1,40,40,35.6,
Philippines,-1,-1,28.82,-1,-1,-1,-1,-1,-1,
Poland,120,64,134,2.16,-1,6.8,33.6,-1,-1,
Portugal,50,56.2,64,-1,-1,3.09,-1,29.5,36,
Puerto Rico,-1,-1,95.3,-1,-1,6.3,-1,-1,34,
Qatar,7.5,64.57,98,-1,6.9,-1,28,20,27,
Romania,31,30,35,2,0.75,1.549222118,30,22,25,
Russian Federation,40,50,55,1.85,1.75,2,31.5,29,-1,
Rwanda,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Saint Kitts and Nevis,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Saint Lucia,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Saint Vincent and the Grenadines,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Samoa,-1,-1,-1,-1,-1,-1,-1,-1,-1,
San Marino,-1,250,336.64,-1,13.75,7.7,-1,34,49.6,
Sao Tome and Principe,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Saudi Arabia,8,30,41,-1,7.5,-1,29,20,27.8,
Senegal,0.05,-1,-1,-1,-1,-1,25,-1,-1,
Serbia,50,65,136,2.2,2,3.408024352,31,30,30,
Seychelles,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Sierra Leone,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Singapore,1.9,3.9,6,0.1,-1,0.396255421,30.5,32,31.3,
Sint Maarten (Dutch part),-1,-1,-1,-1,-1,-1,-1,-1,-1,
Slovakia,17.5,-1,-1,3,-1,-1,30,-1,-1,
Slovenia,151,120,151.9,2.3,1.8,-1,27.4,28,-1,
Solomon Islands,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Somalia,-1,-1,-1,-1,-1,-1,-1,-1,-1,
South Africa,32,5,8,1,1,-1,30,25,-1,
South Sudan,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Spain,59,100,123.31,3.8,4,4.2,30,34.9,32.1,
Sri Lanka,-1,4.9,9.38,-1,-1,0.46896104,31.6,29,29,
St Martin (French part),-1,-1,-1,-1,-1,-1,-1,-1,-1,
Sudan,-1,-1,0.2,-1,-1,0.047845135,-1,-1,20,
Suriname,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Sweden,100,189,215,5,5,7.4,32,33.2,38.2,
Switzerland,110,110,180,5,4,-1,30,30,36.6,
Syrian Arab Republic,-1,-1,42,2,-1,2.3,25,-1,27.1,
Taiwan ,-1,2.96,4.6,-1,0.63,0.117776336,-1,-1,-1,
Tajikistan,-1,-1,-1,-1,-1,-1,-1,-1,-1,
"Tanzania, United Republic of ",-1,-1,0.01,-1,-1,0.01,-1,-1,-1,
Thailand,2.5,0.75,0.77,-1,-1,0.016,33,34,28,
Timor-Leste,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Togo,-1,-1,0.15,-1,-1,-1,-1,-1,-1,
Tonga,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Trinidad and Tobago,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Tunisia,15,20.1,20.1,2,1.34,1.3,30,31,-1,
Turkey,34,55,70,-1,-1,-1,27.6,28,29,
Turkmenistan,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Turks and Caicos Islands,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Tuvalu,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Uganda,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Ukraine,48.4,-1,47.61,3,-1,3.7,28.5,-1,-1,
United Arab Emirates,26,55,18,5,7,-1,19,26.6,28,
United Kingdom,110,164,199,6,4,10,32.5,32,33,
United States of America,135,135,288.03,4,3.2,7.855077835,32.5,33,36,
Uruguay,22,26,20.9,-1,2.5,2.89,22,30,37,
Uzbekistan,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Vanuatu,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Venezuela,-1,6.9,7.32,-1,-1,-1,-1,34,-1,
Vietnam,-1,-1,-1,-1,-1,-1,38,-1,-1,
Virgin Islands,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Yemen,-1,-1,1.4,-1,-1,-1,25,-1,35,
Zambia,-1,0.083,0.14,-1,-1,0.069157457,24,26,35,
Zimbabwe,-1,0.078,-1,-1,-1,-1,-1,35,-1,
Greenland,-1,-1,-1,-1,-1,-1,-1,-1,-1,
